trial,size,distance,direction,time_ms,distance_traveled,errors
1,60,100,left,549.9475002288818,89.23768362345949,0
2,20,100,left,564.9459362030029,100.06268274429931,0
3,40,100,right,798.4457015991211,175.2470594767659,0
4,60,100,right,817.0292377471924,102.34618626752997,0
5,40,200,left,827.5794982910156,201.0288736434168,0
6,60,200,left,797.666072845459,195.09551567461608,0
7,40,100,left,1385.3654861450195,156.89130555281196,2
8,60,200,left,849.7085571289062,217.53702623066545,0
9,20,300,right,1133.8260173797607,323.1608591090365,0
10,20,200,right,1758.0201625823975,309.4059949646086,1
11,20,300,left,1027.5702476501465,368.4172294632922,0
12,40,200,left,768.5935497283936,200.57583012373058,0
13,60,300,left,659.6982479095459,377.169122221458,0
14,60,100,left,746.812105178833,230.57461639064368,0
15,20,300,right,987.6008033752441,410.4397258957404,0
16,20,200,right,1165.9843921661377,235.98379451943592,0
17,40,300,left,868.9126968383789,306.8794770498401,0
18,20,200,left,1035.9926223754883,235.524500162911,0
19,20,100,right,784.1341495513916,156.40796930092546,0
20,60,300,left,1072.127342224121,288.7696322881767,0
21,60,300,right,647.7220058441162,303.9382336856849,0
22,20,100,right,785.374641418457,114.06168615908749,0
23,20,200,right,846.0972309112549,208.84591489422456,0
24,60,300,right,753.2138824462891,357.16376588095363,0
25,60,300,right,640.1479244232178,292.2685531526916,0
26,20,300,right,1249.638319015503,412.88876479487993,0
27,60,100,right,769.9258327484131,106.28645572327916,0
28,20,300,left,973.6015796661377,360.0006936511287,0
29,40,300,right,1062.6709461212158,313.86133867256393,0
30,40,300,left,1125.5311965942383,318.7809954142232,0
31,60,100,right,571.047306060791,106.0,0
32,60,300,left,661.6480350494385,286.41575303131503,0
33,40,100,left,1319.1628456115723,190.84727935096535,1
34,60,300,right,850.8851528167725,325.02508388188096,0
35,40,300,left,889.1270160675049,378.72358030601265,0
36,40,300,left,879.57763671875,288.4407497096279,0
37,40,200,right,820.6334114074707,207.7203542295699,0
38,60,100,left,765.6917572021484,225.05677684328148,0
39,20,100,left,616.6720390319824,92.05838439316344,0
40,20,100,right,918.8175201416016,97.39569819716569,0
41,60,100,right,582.4599266052246,89.22360855052786,0
42,20,300,left,1006.3004493713379,311.9624338644718,0
43,60,100,left,536.827564239502,94.0,0
44,20,200,right,892.3873901367188,206.09913435140257,0
45,20,200,left,698.2812881469727,199.80277961738662,0
46,40,100,right,615.6835556030273,97.66837336937296,0
47,20,300,right,1619.1225051879883,365.8733221104224,0
48,60,300,right,712.7251625061035,291.10684496740055,0
49,60,100,right,1347.9716777801514,161.28529441853934,2
50,60,100,left,606.1196327209473,102.1757605591082,0
51,20,300,right,1357.8646183013916,507.10559194177864,0
52,60,300,left,1339.0812873840332,339.7401789509395,0
53,40,300,right,878.8375854492188,302.41620771563004,0
54,40,300,left,962.1124267578125,314.2833465907012,0
55,40,300,left,695.2638626098633,322.9060326737163,0
56,60,100,left,635.4267597198486,123.37497313206204,0
57,20,300,right,1802.1528720855713,456.43562972507414,1
58,60,200,left,784.5892906188965,183.55248708438774,0
59,60,200,right,599.6406078338623,177.922538844099,0
60,20,100,left,1215.8775329589844,114.75484221344512,1
61,20,100,right,786.3168716430664,189.54497005249323,0
62,20,200,right,877.0835399627686,208.97029383240826,0
