trial,size,distance,direction,time_ms,distance_traveled,errors
1,40,300,right,712.2232913970947,365.26596504527555,0
2,20,300,right,795.7322597503662,500.54169801641643,0
3,60,300,right,684.0364933013916,531.4803245999981,0
4,60,100,right,610.1713180541992,182.47445382719803,0
5,20,200,left,877.8846263885498,337.9538887777383,0
6,60,200,left,579.5938968658447,213.62208356257733,0
7,20,100,left,754.5971870422363,224.22916591242029,0
8,20,300,right,828.4249305725098,338.8426716675647,0
9,20,100,left,841.5913581848145,165.23113156270142,0
10,60,100,left,483.0656051635742,167.02485001825764,0
11,60,300,right,707.719087600708,365.90067658204316,0
12,40,100,left,736.5872859954834,180.54070056685697,0
13,60,100,left,640.4824256896973,252.55676681267565,0
14,60,200,left,561.5725517272949,227.9866496763272,0
15,60,200,left,579.0486335754395,238.85118876179644,0
16,60,100,left,464.33043479919434,148.5806000979805,0
17,40,100,right,599.3645191192627,151.0485480112321,0
18,20,100,left,674.6828556060791,111.09181407523901,0
19,20,200,left,694.9679851531982,226.74496601711044,0
20,40,200,left,642.7719593048096,246.21383959055936,0
21,40,200,left,733.1447601318359,475.24161397216443,0
22,40,100,right,479.42638397216797,184.6120510668878,0
23,20,200,right,763.5383605957031,407.0636550872041,0
24,20,200,left,564.4841194152832,203.55242847598393,0
25,20,200,right,779.5028686523438,359.24223233168175,0
26,40,200,right,614.553689956665,404.87985080406185,0
27,20,100,left,659.1231822967529,125.87430374865704,0
28,40,300,right,633.9735984802246,302.23973262515887,0
29,60,300,left,514.7113800048828,280.87780742181155,0
30,20,300,left,934.8208904266357,825.5756273670773,0
31,20,300,left,815.0112628936768,448.70794486559356,0
32,60,200,left,681.6072463989258,286.11430445151694,0
33,20,300,right,793.3046817779541,315.66677243968854,0
34,40,100,left,591.0279750823975,149.51257529679663,0
35,40,300,left,839.2629623413086,522.2980882682152,0
36,60,100,right,1037.5933647155762,244.44490322673144,1
37,40,300,right,711.6398811340332,316.29466628472653,0
38,40,200,left,684.9110126495361,362.2779206046343,0
39,60,100,right,695.8308219909668,156.23376055903688,0
40,40,200,right,613.922119140625,204.00396804857,0
41,20,200,left,671.2682247161865,223.93661871412147,0
42,40,100,right,546.511173248291,112.51892103995647,0
43,20,100,right,724.6637344360352,204.11982860917905,0
44,60,300,left,652.73118019104,303.0210916614813,0
45,20,300,left,802.5188446044922,498.63864888120565,0
46,40,300,left,674.35622215271,469.2475287037974,0
47,40,300,right,745.4416751861572,335.3056741924414,0
48,20,200,right,818.1116580963135,324.5116519694274,0
49,40,100,right,753.3109188079834,255.68234819623416,0
50,20,100,right,816.5645599365234,148.51392805658818,0
51,20,200,right,878.2360553741455,246.38635390618376,0
52,40,300,left,1017.9529190063477,291.7649448708121,1
53,20,200,right,542.1192646026611,217.46351998456848,0
54,20,200,right,756.4702033996582,434.6909953713727,0
55,40,100,left,532.3531627655029,198.55357725207472,0
56,20,300,right,702.4781703948975,354.8041581086363,0
57,60,100,left,401.78394317626953,132.31792764327795,0
