trial,size,distance,direction,time_ms,distance_traveled,errors
1,40,300,right,907.4583053588867,303.9306353552148,0
2,20,100,right,836.6491794586182,131.55246037662167,0
3,40,200,left,952.794075012207,288.89176984374535,0
4,40,300,right,781.7914485931396,372.391630232367,0
5,20,100,left,807.1873188018799,216.02925247268828,0
6,20,200,right,1270.6212997436523,228.87553103118063,1
7,20,200,left,800.7943630218506,250.45772719405483,0
8,60,200,right,679.5504093170166,400.8501735040546,0
9,20,200,right,867.3191070556641,513.7412388231262,0
10,40,200,left,988.9328479766846,372.45963495074125,0
11,60,300,left,1002.1018981933594,293.1677338712269,1
12,40,200,right,947.7229118347168,231.56187064544136,1
13,60,200,left,764.4772529602051,189.36481944580783,0
14,20,300,left,810.6546401977539,376.6916889444229,0
15,60,300,left,642.1895027160645,311.0030582361213,0
16,20,100,right,1058.9702129364014,717.8013408849872,0
17,60,300,left,589.6492004394531,281.0502923099835,0
18,20,100,right,1140.929937362671,133.830573743535,0
19,40,200,right,813.2145404815674,210.39565009247255,0
20,60,200,right,698.6649036407471,196.6466645038965,0
21,60,200,right,665.8000946044922,341.9733099672333,0
22,40,100,left,675.4410266876221,212.9508719300054,0
23,60,100,left,486.90319061279297,103.2963908099839,0
24,40,200,right,597.4709987640381,206.95921704356505,0
25,60,200,left,530.3359031677246,220.15570825795348,0
26,60,300,right,760.124683380127,326.7636217415187,0
27,20,200,right,777.0376205444336,241.64443698006943,0
28,40,300,right,767.3511505126953,533.1625731734631,0
29,60,100,right,700.0002861022949,360.94347068045516,0
30,20,100,left,1418.8826084136963,170.25553037602725,1
31,20,300,right,1624.7448921203613,328.38617828769094,2
32,40,100,left,702.8274536132812,136.3258756199635,0
33,40,200,left,930.9234619140625,198.3102145022292,0
34,60,100,right,617.3238754272461,231.2603600275901,0
35,20,100,left,882.8701972961426,214.3411307388902,0
36,40,300,right,963.1555080413818,345.51354960008126,0
37,60,200,left,910.846471786499,479.75840486451597,0
38,20,300,left,1045.788288116455,335.2176890615221,0
39,40,200,right,844.7797298431396,190.51584867479025,0
40,60,100,right,1009.540319442749,152.59928993048308,1
41,40,300,left,699.7957229614258,285.9111608361601,0
42,40,100,left,894.6807384490967,220.3055558310022,0
43,40,200,right,765.7701969146729,214.0570962859162,0
44,40,100,right,911.308765411377,90.52772180060475,0
45,40,200,left,782.2134494781494,225.87424806934678,0
46,60,100,left,478.0116081237793,95.77444147057915,0
47,20,100,right,716.3631916046143,108.8246989606647,0
48,40,300,right,786.2248420715332,351.72115626382305,0
49,20,300,left,1035.3198051452637,497.360666480082,0
50,20,200,left,799.9351024627686,231.9887265989017,0
51,40,100,right,589.0622138977051,133.05748577742713,0
52,20,100,left,660.2952480316162,107.22893647338522,0
53,20,100,left,600.0432968139648,102.54159764540073,0
54,60,300,right,917.0064926147461,310.89637590476275,0
55,40,300,right,850.9540557861328,360.0028425760014,0
56,40,200,right,63420.4797744751,263.03123637871823,1
57,60,300,right,719.3307876586914,310.7938267335626,0
58,20,300,right,2609.808921813965,390.2762788291605,4
59,20,200,left,882.6925754547119,201.68832882337296,0
60,60,300,left,951.519250869751,325.40803456162973,0
61,60,100,right,891.1628723144531,325.05850485648904,0
62,20,200,right,715.9276008605957,231.33789298733865,0
63,20,100,right,1240.1244640350342,278.2161814026113,1
64,40,200,left,680.8927059173584,203.24110432624065,0
65,60,300,right,825.127363204956,431.1526885552903,0
66,60,200,left,710.4382514953613,285.9397019129848,0
67,60,300,right,687.1657371520996,319.366567551859,0
68,20,300,left,1439.6772384643555,490.2898706686639,1
69,60,100,left,798.0809211730957,89.89209890319209,0
70,20,200,left,1035.7599258422852,303.91025933862215,0
71,60,100,left,567.6794052124023,108.39670555913898,0
72,20,300,right,1138.4358406066895,337.41717165191506,0
73,60,200,right,631.1414241790771,330.73488226379555,0
74,40,100,right,822.7996826171875,659.9194080324934,0
75,40,100,right,845.0822830200195,354.5960374833257,0
76,60,300,left,1033.2937240600586,337.7862526464807,0
77,20,100,left,1233.9508533477783,114.9555840632454,2
78,60,100,left,710.8616828918457,91.59788913359596,0
79,40,100,right,1032.1941375732422,191.10462037014528,1
80,20,200,right,967.534065246582,423.9991659192965,0
81,40,300,left,715.9280776977539,447.60319806400685,0
82,60,100,left,496.92225456237793,117.80290809060274,0
83,20,100,right,650.8896350860596,103.8008772367379,0
84,60,100,right,1014.2862796783447,89.12890225112687,1
85,40,300,left,917.4079895019531,443.79630784532424,0
86,60,200,left,668.9286231994629,217.76781817136396,0
87,40,300,right,966.9749736785889,328.5131328269067,0
88,60,100,right,846.513032913208,290.57044614916373,0
89,20,300,right,1180.9728145599365,438.2737471408893,1
90,20,100,left,699.9704837799072,99.32998700308909,0
91,40,100,left,888.556718826294,234.19152414358248,0
92,20,300,right,812.3090267181396,305.3374483290477,0
93,60,100,left,547.5728511810303,130.10035521255602,0
94,20,200,left,895.5705165863037,212.76337618545665,0
95,20,100,right,997.2565174102783,445.3394371238284,0
96,40,200,right,780.9348106384277,202.87061733775204,0
97,20,200,left,651.7868041992188,196.20105454970894,0
98,40,300,left,815.230131149292,312.49899693599093,0
99,60,100,right,702.4102210998535,243.6820319473979,0
100,60,100,left,888.3166313171387,272.12071545780776,0
101,40,100,left,564.6858215332031,99.08713477913155,0
102,60,200,right,561.6457462310791,220.3067579740877,0
103,40,200,right,842.3566818237305,291.2916834301032,0
104,60,200,right,719.322919845581,257.00448458299707,0
105,20,200,right,881.119966506958,257.33866411117026,0
106,40,200,left,644.1249847412109,192.0247105059782,0
107,60,200,left,844.1083431243896,199.1978966054901,0
108,20,300,left,782.0038795471191,312.88862845425905,0
109,60,100,right,1942.8126811981201,109.82641707588718,0
110,60,300,right,683.9578151702881,280.7130208267357,0
111,60,200,left,620.4156875610352,325.9588665700704,0
112,20,300,left,1066.8203830718994,416.4961064431263,0
113,40,100,left,683.37082862854,106.64586735757965,0
114,60,300,left,582.7949047088623,316.75266087005144,0
115,40,300,left,815.3526782989502,328.51150228527587,0
116,20,300,right,1002.4492740631104,919.9967118469557,0
117,60,300,left,660.552978515625,467.03289084050374,0
118,40,100,right,712.5053405761719,291.45163084541116,0
119,20,300,right,944.3392753601074,358.2193288440932,0
120,20,200,right,764.7156715393066,222.18251699309724,0
121,40,300,left,1609.5099449157715,452.80213321300056,1
122,40,100,left,687.8712177276611,160.35182153564412,0
123,60,200,right,620.488166809082,292.28945485901374,0
124,60,300,left,882.1549415588379,278.44967428056094,0
125,60,200,left,751.699686050415,353.8713279675891,0
126,40,300,right,1087.3570442199707,609.9179843562868,0
127,40,100,left,529.862642288208,130.13568809054595,0
128,60,100,right,445.64342498779297,73.2225750269786,0
129,20,300,left,1094.8755741119385,469.34966406661005,0
130,20,200,left,1186.7411136627197,296.6971535181586,0
131,40,100,right,549.2153167724609,101.15072906367325,0
132,60,200,left,666.9962406158447,401.7707620474946,0
133,20,200,left,1060.8363151550293,242.23202914514084,0
134,60,200,left,613.5709285736084,199.48043522172412,0
135,40,100,left,915.0407314300537,93.0713069839922,0
136,60,100,right,799.0281581878662,436.21799652009827,0
137,20,100,left,700.0515460968018,124.25413594664124,0
138,40,100,right,721.980094909668,93.50176918309424,0
139,40,300,right,848.1571674346924,335.9926869874613,0
140,60,300,left,683.5968494415283,301.9226513318715,0
141,60,200,right,750.9293556213379,199.2425206727339,0
142,20,300,right,1416.1343574523926,389.1763124788905,0
143,20,100,right,696.4395046234131,107.85893337455207,0
