trial,size,distance,direction,time_ms,distance_traveled,errors
1,40,100,right,680.835485458374,94.39607805437115,0
2,40,200,left,1053.3630847930908,252.08376135304061,1
3,20,300,right,1093.804121017456,463.4615359206681,0
4,40,300,right,972.8953838348389,323.44602673759636,0
5,40,100,right,663.177490234375,96.54027367281479,0
6,40,200,left,762.6590728759766,274.0310249806567,0
7,20,200,left,811.6774559020996,281.8745903781686,0
8,60,300,left,769.8709964752197,346.61267396335376,0
9,60,100,right,733.4549427032471,382.3713910209403,0
10,20,200,left,842.1378135681152,220.65540280498257,0
11,20,300,left,734.3118190765381,316.87706565893586,0
12,40,300,right,896.6102600097656,321.4258075911995,0
13,60,200,left,713.3619785308838,247.44724979050403,0
14,60,300,right,1213.5305404663086,357.0846639357918,1
15,40,200,right,1412.6899242401123,366.83358214292304,1
16,40,300,left,852.135181427002,317.6089784596138,0
17,20,200,right,1753.9939880371094,278.93537815104554,1
18,40,300,left,961.85302734375,359.1750637109478,0
19,40,100,left,824.0396976470947,119.16881951398736,0
20,20,300,left,749.0715980529785,304.30771930718686,0
21,40,300,right,809.7548484802246,302.552310682083,0
22,40,200,left,763.3733749389648,225.0095437814155,0
23,60,300,left,668.9643859863281,314.8557790959735,0
24,60,100,left,500.0340938568115,80.80729125044586,0
25,20,200,right,947.162389755249,288.8946896703351,0
26,20,100,left,687.126636505127,118.03607239902621,0
27,40,100,right,632.4772834777832,109.64303921198585,0
28,20,100,left,594.1863059997559,113.5487788382461,0
29,60,300,left,760.8771324157715,292.9458122448333,0
30,20,300,right,821.3057518005371,343.47149579727517,0
31,60,100,left,609.9541187286377,86.48149702410726,0
32,60,300,right,1343.2371616363525,372.97631039223313,1
33,20,300,left,1544.9678897857666,433.3622601236348,0
34,20,100,right,811.9816780090332,297.4237449656228,0
35,20,300,left,1016.6018009185791,415.35265147437985,0
36,40,100,left,910.635232925415,191.49970612482664,0
37,40,100,right,663.2344722747803,198.07157343078,0
38,40,100,left,552.0474910736084,94.7018947502614,0
39,20,200,right,929.52561378479,216.4986167860931,0
40,40,100,right,672.5325584411621,90.14240550710187,0
41,60,300,right,747.5705146789551,324.7041458428961,0
42,60,300,left,678.4121990203857,355.8177944014551,0
43,40,300,left,678.4381866455078,309.013432196687,0
44,40,200,right,1003.1328201293945,377.2356739103417,0
45,60,200,right,799.2932796478271,214.96030520284214,0
46,40,200,right,652.4074077606201,206.629355225733,0
47,40,200,left,784.6260070800781,196.08585071754482,0
48,60,300,right,869.8360919952393,305.31791491630327,0
49,40,300,left,750.7705688476562,305.9453222864206,0
50,60,100,left,871.751070022583,89.71187173310834,0
51,20,200,left,815.086841583252,211.4375313155626,0
52,20,200,right,820.2900886535645,277.8509026019645,0
53,40,300,left,749.4101524353027,379.21679181740575,0
54,60,100,right,836.6124629974365,240.69205538888866,0
55,40,100,left,597.3780155181885,132.0812445261194,0
56,20,100,left,931.1144351959229,102.76799369038342,0
57,60,200,left,729.1824817657471,190.10620833870738,0
58,40,200,right,834.1941833496094,195.07290029389503,0
59,20,300,right,1066.2505626678467,325.88892447827357,1
60,40,200,right,914.792537689209,198.3397461774819,0
61,60,100,right,697.9842185974121,206.80514686782033,0
62,40,100,right,970.2579975128174,183.99496104142364,0
63,40,100,right,595.4692363739014,111.69308013742089,0
64,60,200,left,631.3860416412354,194.51213127756338,0
65,20,100,left,1108.1197261810303,158.4250466743282,1
66,20,300,left,983.4437370300293,346.76182618138273,0
67,20,300,left,998.7490177154541,346.1221031153532,0
68,20,200,right,1093.644142150879,349.7158757854439,0
69,20,200,left,855.3323745727539,237.13116666457196,0
70,20,100,right,1343.557357788086,254.2031271830227,1
71,60,100,right,879.3599605560303,123.90991274682607,0
72,20,300,left,927.1299839019775,306.5920980992108,0
73,60,200,right,684.3392848968506,250.32200637891157,0
74,60,300,right,1369.3058490753174,315.4000440340865,0
75,20,200,left,1642.486810684204,326.91764093174294,1
76,60,100,left,511.6391181945801,123.29091963455147,0
77,40,300,right,749.7401237487793,306.12649828571097,0
78,60,100,right,635.4320049285889,130.58977330579077,0
79,20,100,left,803.3220767974854,107.10470209216581,0
80,20,300,right,1021.7835903167725,335.93739512685823,0
81,40,100,left,769.606351852417,110.64520531522442,0
82,20,200,right,1433.028221130371,285.5830812493103,1
83,40,300,right,1312.6630783081055,410.6423490728435,0
84,40,100,right,650.3381729125977,118.43505067199338,0
85,60,200,right,664.8983955383301,242.88035134075673,0
86,40,200,left,1127.511739730835,374.15966782483343,0
87,20,200,left,1063.4357929229736,289.66824135343705,0
88,40,200,right,971.278190612793,387.82641516092554,0
89,40,100,left,769.6182727813721,225.5216352013907,0
90,20,100,left,933.5010051727295,104.30173878897664,0
91,20,100,left,895.5996036529541,154.88057625808912,0
92,40,200,right,1098.2086658477783,430.40286277378215,0
93,20,300,right,744.9228763580322,400.66803752910664,0
94,20,200,left,830.1589488983154,200.0149886018235,0
95,60,200,left,849.6527671813965,206.22193247944745,0
96,40,200,left,1116.2443161010742,205.03831313535395,0
97,40,200,right,832.7112197875977,306.778707611873,0
98,60,200,right,778.8875102996826,417.31854943713,0
99,20,200,left,2151.580810546875,529.9931089975476,0
100,40,300,right,797.004222869873,444.0438289053482,0
