trial,size,distance,direction,time_ms,distance_traveled,errors
1,60,300,left,962.2640609741211,306.37167099896726,0
2,40,200,left,567.8036212921143,195.14185912304276,0
3,20,100,right,985.8334064483643,97.820736529915,0
4,20,200,left,1093.7039852142334,312.59867825208744,0
5,40,300,right,858.6804866790771,304.11233665040163,0
6,40,300,left,3253.889322280884,333.5058496826337,0
7,20,300,right,1452.5558948516846,361.86758780735806,0
8,60,100,left,1002.4302005767822,87.57744006561478,1
9,40,200,right,944.3838596343994,209.03565855647537,0
10,60,100,left,531.5461158752441,83.74046554048654,0
11,60,300,right,835.1230621337891,413.94594892654936,0
12,40,200,right,776.4897346496582,305.67751120235016,0
13,40,100,left,615.0720119476318,112.47995390767527,0
14,20,100,left,599.1115570068359,97.20226836767768,0
15,60,100,right,597.6157188415527,195.84456793557646,0
16,40,100,right,749.7513294219971,86.80035106367221,0
17,40,300,left,890.7318115234375,314.3280920403492,0
18,40,100,right,562.018632888794,113.00909130882208,0
19,40,200,right,711.9014263153076,195.1318765480003,0
20,60,200,left,1573.9424228668213,257.4513026245932,0
21,20,100,left,872.3580837249756,216.7559831943912,0
22,20,300,left,1089.0696048736572,366.04210680544315,0
23,60,300,right,770.1890468597412,386.5100133196346,0
24,60,200,left,804.2852878570557,205.88552629401207,0
25,60,100,left,785.0313186645508,197.21661506788055,0
26,60,300,right,1053.6456108093262,305.66517293294623,0
27,20,200,right,1310.4033470153809,279.34351525356357,0
28,40,300,right,896.2666988372803,370.9940353156159,0
29,40,100,left,804.1701316833496,105.97374083800659,0
30,60,200,right,832.9699039459229,353.80737033623757,0
31,60,300,left,862.8315925598145,291.4170542765589,0
32,60,200,left,837.9254341125488,498.54426506877775,0
33,40,200,left,735.8126640319824,211.56517609115417,0
34,40,100,right,758.6534023284912,91.10837390714812,0
35,40,300,left,679.3415546417236,317.4841241148218,0
36,40,200,left,821.2325572967529,265.8027789837727,0
37,20,200,left,1131.28662109375,302.8610871360103,0
38,40,100,left,553.1232357025146,188.2781611606247,0
39,40,100,left,676.8190860748291,110.04345773288534,0
40,20,300,left,1028.3050537109375,348.9927778837835,0
41,60,300,left,848.4699726104736,411.23518226921726,0
42,20,300,left,1299.3392944335938,345.060571998966,0
43,40,100,right,985.6724739074707,213.0963045515331,0
44,20,100,right,868.1089878082275,108.2423308997562,0
45,20,300,left,811.3815784454346,306.6734181199123,0
46,20,300,left,875.4439353942871,309.61760198768485,0
47,20,100,right,709.7394466400146,114.28954077525471,0
48,40,100,left,953.1121253967285,117.47901589620018,0
49,20,300,right,1338.564157485962,320.92087986373974,0
50,20,100,right,745.8522319793701,182.64922309960346,0
51,40,300,left,1264.5745277404785,311.72467764338273,0
52,60,100,left,1016.8979167938232,128.10025350346672,1
53,60,200,right,782.3333740234375,183.45605750114933,0
54,40,300,right,936.2192153930664,316.8696470027938,0
55,40,100,right,768.3908939361572,175.32655183056525,0
56,20,300,left,1151.3206958770752,305.790832514142,0
57,20,300,left,1097.362995147705,333.40798527831873,0
58,40,200,left,1129.7547817230225,337.4319866213933,0
59,60,200,left,606.8356037139893,215.25694736862587,0
60,60,100,right,1014.1401290893555,104.6248812938668,0
61,20,300,left,914.1499996185303,336.65558166726976,0
62,40,100,right,813.9426708221436,139.0652820776696,0
63,20,100,right,768.5549259185791,166.28655906941532,0
64,60,300,left,892.3683166503906,346.3539783801192,0
65,40,300,left,1426.685094833374,432.7167399943299,0
66,60,300,right,1041.8431758880615,308.51990460053264,0
67,40,200,left,764.3930912017822,215.94174582093365,0
68,60,100,right,868.7431812286377,199.98898881209377,0
69,60,200,right,700.0787258148193,189.91719530317673,0
70,20,200,right,2350.2590656280518,304.91548746365044,0
71,20,200,left,1092.0040607452393,290.6247046995474,0
72,40,100,left,699.0997791290283,132.3103090852242,0
73,20,300,left,3778.975248336792,373.60561346577185,0
74,60,100,left,800.1267910003662,198.88180181174727,0
75,60,200,left,1039.7677421569824,224.7294285230329,0
76,60,300,left,792.1133041381836,315.81347653735236,0
