trial,size,distance,direction,time_ms,distance_traveled,errors
1,40,100,right,778.4543037414551,84.8331167981456,0
2,20,200,right,1027.580976486206,213.27574361223245,0
3,60,100,left,529.6003818511963,107.21260801899834,0
4,40,300,left,788.8100147247314,297.799364797365,0
5,60,300,right,719.5420265197754,341.9244379475014,0
6,60,300,right,794.4231033325195,307.313500220112,0
7,20,100,right,1635.5698108673096,171.78842749312813,1
8,60,100,right,1097.886323928833,93.19889715949982,1
9,20,100,left,835.1025581359863,125.8068181066171,0
10,40,300,right,1512.052297592163,358.0402853502733,1
11,20,300,right,966.609001159668,392.5607613825397,0
12,20,300,right,1110.044240951538,359.6115758637582,0
13,60,100,right,660.3574752807617,309.04799332859386,0
14,60,100,left,614.0410900115967,120.4762797752742,0
15,60,200,left,877.6178359985352,206.9566017274064,0
16,60,300,left,751.0743141174316,301.4217972782356,0
17,20,300,left,1197.9849338531494,318.5706222621883,0
18,40,200,right,1179.46195602417,344.807595724387,1
19,40,100,left,781.8233966827393,107.35417318544498,0
20,40,300,left,1282.5610637664795,306.8576652328444,1
21,40,100,left,900.841474533081,195.3048268675247,0
22,40,100,right,845.2036380767822,135.4736797058026,0
23,20,100,left,601.9713878631592,103.39734576334722,0
24,20,300,right,946.617603302002,313.99556351635647,0
25,60,200,left,651.3681411743164,211.16490226021236,0
26,40,300,right,1522.7587223052979,344.0411802699931,1
27,40,100,right,599.0304946899414,111.55394851225374,0
28,20,300,right,765.1114463806152,341.6185701724632,0
29,40,100,right,596.4150428771973,100.50288164941661,0
30,60,300,left,729.7172546386719,310.1384811680337,0
31,40,100,left,521.6565132141113,94.44737436490996,0
32,40,300,left,867.5718307495117,311.6655843251537,0
33,20,300,right,1114.0432357788086,618.9119875919234,0
34,20,300,right,749.0601539611816,316.8997287062398,0
35,60,300,right,834.3944549560547,290.5678257339607,0
36,20,200,left,1117.4368858337402,212.9968362387022,0
37,40,200,left,886.2972259521484,201.15869714945126,0
38,20,300,left,870.1155185699463,314.35337838586594,0
39,20,200,left,1034.8591804504395,331.8841906660317,0
40,20,300,left,935.5390071868896,309.6509480272791,0
41,40,200,right,875.0250339508057,404.8080462288479,0
42,40,100,left,732.1960926055908,232.16298514972254,0
43,20,200,left,895.8110809326172,205.92264949670835,0
44,40,200,right,865.8883571624756,218.26292899429072,0
45,20,200,left,1107.7499389648438,198.49972257708433,0
46,60,300,right,879.1947364807129,493.85940989186025,0
47,40,100,left,829.0176391601562,95.24216499010595,0
48,20,100,right,817.664384841919,180.38570771118475,0
49,40,300,left,810.2524280548096,293.532532122227,0
50,20,100,left,1054.572582244873,173.2528100583326,0
51,60,200,left,630.3188800811768,212.3917311839556,0
52,40,300,left,644.1631317138672,301.7735227217261,0
53,60,200,right,678.8902282714844,241.48700955184512,0
54,40,200,left,814.3863677978516,275.8450812753633,0
55,60,100,left,595.7720279693604,167.78917024662917,0
56,60,100,right,583.6367607116699,94.4889396150597,0
57,20,100,right,1326.6375064849854,137.54110921507413,1
58,60,200,right,685.5254173278809,235.37871872112962,0
59,40,300,right,800.3168106079102,468.96385678872804,0
60,60,200,left,974.46608543396,205.53698014450478,0
61,40,100,left,663.4871959686279,107.75539858016721,0
62,20,100,right,906.2075614929199,148.83647734956958,0
63,40,100,left,549.4992733001709,110.99077048602624,0
64,60,200,right,575.1914978027344,234.52492933204965,0
65,60,100,right,1205.4667472839355,120.99560844250807,0
66,60,300,right,820.0335502624512,300.79215832389986,0
67,60,300,right,1186.68532371521,365.6994728314733,1
68,40,200,left,773.3404636383057,201.02620299209602,0
69,20,200,left,919.9717044830322,204.7706632430247,0
70,60,100,right,845.8001613616943,119.99177489261828,0
71,20,200,left,805.2592277526855,202.21432409721842,0
72,60,200,right,620.011568069458,201.9525708583907,0
73,40,200,right,858.0868244171143,195.72989952416611,0
74,60,100,right,1093.6217308044434,99.37269426956843,1
75,60,200,right,725.1071929931641,204.40257020649867,0
76,40,200,left,789.1988754272461,203.73779208752077,0
77,60,300,left,859.8358631134033,289.8613248004109,0
78,40,300,left,845.0906276702881,319.518242793119,0
79,20,100,left,881.5131187438965,109.78743753547299,0
80,20,200,right,1980.1454544067383,286.42978195503326,2
81,40,100,left,1170.4840660095215,273.48897107612873,1
82,20,200,right,744.1015243530273,207.63027156588566,0
83,60,100,left,981.391191482544,159.67324518110192,1
84,40,300,right,708.6751461029053,298.10331375855696,0
85,40,100,right,914.6988391876221,107.05030255131922,0
