trial,size,distance,direction,time_ms,distance_traveled,errors
1,60,300,left,633.8346004486084,405.19637149944424,1
2,60,200,left,398.1804847717285,187.008025989453,0
3,60,100,left,362.72263526916504,109.41861551545291,0
4,20,100,left,1026.759386062622,178.174625322646,3
5,60,300,right,799.7074127197266,415.6057546388405,2
6,20,200,left,767.380952835083,280.85518418758784,2
7,20,300,right,529.8411846160889,318.7793499859172,0
8,40,100,right,532.6251983642578,102.52863460974267,1
9,20,100,left,579.9200534820557,117.40831399147548,0
10,60,100,right,318.97497177124023,120.93020029473388,0
11,60,300,right,604.0554046630859,437.3430024333847,1
12,20,300,right,615.6730651855469,312.7934473961218,0
13,60,300,right,596.4987277984619,517.568953859153,0
14,60,200,left,414.8719310760498,289.41420141846345,0
15,60,100,left,347.9931354522705,89.88952795529946,0
16,40,300,right,534.4991683959961,320.08682544748496,0
17,60,300,right,367.3233985900879,351.9456451990703,0
18,60,200,left,448.5747814178467,247.4954028822504,0
19,20,300,left,753.4019947052002,404.0884593013094,0
20,20,300,left,693.2656764984131,363.65478020998336,0
21,20,300,right,565.9575462341309,316.31891483651356,1
22,40,300,right,614.0947341918945,293.9620117710003,1
23,20,200,right,489.02273178100586,246.42797332479682,0
24,20,200,right,481.9045066833496,325.27535136051426,0
25,40,100,right,383.7716579437256,126.0602565877377,0
26,40,300,left,648.4112739562988,319.55835640134234,1
27,60,100,left,351.1650562286377,126.8256459031288,0
28,60,300,left,512.244701385498,366.7198740913424,0
29,40,100,left,450.44493675231934,90.47956880093989,0
30,60,200,right,518.1903839111328,276.23093872383055,0
31,60,300,right,520.1513767242432,445.3710536384868,0
32,40,100,left,433.6528778076172,111.06188172695813,0
33,40,300,right,629.9245357513428,351.5084581608302,0
34,60,300,right,663.581371307373,418.0557682466779,1
35,40,200,right,501.3272762298584,219.75707307607615,0
36,40,100,right,450.2561092376709,118.1847524715067,0
37,60,200,left,585.5026245117188,231.07772381971273,0
38,60,200,right,351.99499130249023,218.1256621533638,0
39,40,300,right,528.7859439849854,328.8085928364728,0
40,20,200,right,616.6670322418213,248.1551050351613,0
41,60,200,left,431.57505989074707,221.35988396826917,0
42,40,100,left,435.61577796936035,126.88289009994685,0
43,20,200,left,596.0009098052979,253.66130254782917,0
44,60,200,right,416.71109199523926,239.54983033141724,0
45,60,200,left,558.3205223083496,201.92768122666072,0
46,40,100,left,461.5471363067627,130.1656909803419,0
47,20,100,left,580.4853439331055,175.6111233327853,0
48,60,100,left,367.22445487976074,92.37421564593542,0
49,40,200,left,479.69961166381836,215.1948531789804,0
50,40,100,right,480.8206558227539,197.2151231819058,0
51,20,300,left,700.4451751708984,354.8293658119953,0
52,40,200,left,565.392017364502,207.07308914965702,0
53,60,100,right,365.05913734436035,116.76209253603547,0
54,60,200,left,583.4493637084961,190.81093939352166,1
55,60,100,left,409.4376564025879,121.51068178074327,0
56,40,200,left,607.5870990753174,207.71010807734888,0
57,60,300,left,535.742998123169,308.61600468137755,0
58,40,200,right,626.1777877807617,373.2867988289396,0
59,40,300,right,513.1106376647949,321.6338914501029,0
60,20,200,right,613.6696338653564,261.3491774824511,0
61,20,200,left,692.4474239349365,203.99500487872535,0
62,40,100,right,544.6352958679199,103.5869021949953,0
63,60,300,right,626.9359588623047,625.5429439796418,1
64,20,200,left,816.1356449127197,324.67393978227113,1
65,60,300,left,531.4700603485107,321.2379430505972,0
66,40,100,left,398.64373207092285,133.7976856299474,0
67,40,200,left,443.80927085876465,204.42577184512123,0
68,40,300,right,712.6443386077881,308.35127321204266,0
69,60,300,right,491.3325309753418,322.8788204290609,0
70,20,100,right,579.4682502746582,142.38196161038135,0
71,60,200,right,410.7511043548584,231.0893291430906,0
72,60,100,right,347.47958183288574,106.2776073373582,0
73,20,300,right,656.1081409454346,295.14328288385497,0
74,60,100,left,477.0536422729492,211.16152307882905,0
75,40,200,right,459.6405029296875,197.16263445413466,0
76,20,200,right,526.9515514373779,205.49103221325888,0
77,40,100,left,412.64915466308594,111.93091409384944,0
78,40,300,left,758.0020427703857,413.4908997252752,1
79,40,200,right,390.38610458374023,219.8793791615886,0
80,40,100,right,348.1924533843994,122.86115479594633,0
81,40,200,right,890.7017707824707,617.8465841766252,2
82,60,100,left,342.78154373168945,82.24621125123532,0
83,40,300,left,615.8385276794434,304.1103712767897,1
84,60,300,left,381.6711902618408,327.56276553064316,0
85,20,100,left,527.0988941192627,142.7356497726581,0
86,40,300,left,642.4682140350342,335.1376229603706,0
87,60,100,left,456.2509059906006,125.52878777105515,0
88,20,200,right,655.8399200439453,206.2871095655541,0
89,60,100,right,390.96951484680176,117.50970603753893,0
90,40,200,left,544.4979667663574,200.93298855451116,0
91,20,200,right,740.0248050689697,252.27473661467403,0
92,60,200,right,429.394006729126,182.55617942972336,0
93,20,100,right,469.968318939209,104.18033988749895,0
94,20,300,left,607.9666614532471,305.0006745609837,0
95,40,200,right,474.5666980743408,249.3879505240412,0
96,20,100,right,627.1188259124756,301.1202499884205,0
97,20,100,right,485.9459400177002,105.83182449654065,0
98,20,100,right,409.290075302124,110.24285823315759,0
99,20,200,left,601.9856929779053,220.29564089358502,0
100,40,300,right,476.7475128173828,304.78812452883824,0
101,20,100,right,812.8359317779541,178.32264854644225,2
102,60,100,right,313.63368034362793,106.12074622158148,0
103,60,100,left,373.9480972290039,96.18661485738907,0
104,40,200,right,388.60034942626953,216.22309291092117,0
105,20,300,right,735.7399463653564,297.888188637802,1
106,40,100,left,442.35897064208984,111.41372808529933,0
107,40,300,right,521.0316181182861,313.0582155231378,0
108,20,100,left,635.9314918518066,173.79931245140295,0
109,20,200,left,646.9857692718506,312.52518840693705,0
110,40,300,right,567.9776668548584,308.38197044359515,0
111,20,200,right,626.9285678863525,222.7502392882506,0
112,60,300,left,490.04387855529785,337.4294450763701,0
113,40,200,right,555.6771755218506,354.34754996492404,0
114,40,300,left,1223.1318950653076,952.8475522659069,2
115,20,100,right,501.17969512939453,126.04117955147353,0
116,40,300,left,554.6774864196777,289.51116770794255,0
117,40,200,left,1036.3504886627197,704.653777503487,2
118,20,300,left,2682.720899581909,1205.7545593667696,5
119,60,300,left,619.3914413452148,321.2240711194648,0
120,20,300,right,715.5842781066895,419.1247033487801,0
121,40,300,left,671.6527938842773,346.8317034875885,1
122,60,300,left,516.6170597076416,307.86538546565055,0
123,20,200,left,680.2442073822021,195.9010111911515,0
124,40,100,left,542.2465801239014,99.21774838241397,0
125,20,100,right,670.6054210662842,196.65710096107873,0
126,60,200,left,406.477689743042,193.21311042700006,0
127,60,200,right,424.1626262664795,206.32251067105776,0
128,20,100,left,1144.5882320404053,275.8521990748554,2
129,20,300,left,930.9749603271484,319.09855262133,0
130,40,300,left,601.2334823608398,316.3550636864053,0
131,40,100,left,409.8234176635742,114.55468084677327,0
132,60,200,left,470.7632064819336,212.87580883472648,0
133,60,100,right,751.1723041534424,172.02329986292912,1
134,40,200,right,521.5296745300293,322.23189713103955,0
135,20,200,right,1160.754680633545,513.1065012606077,1
136,20,100,right,538.9344692230225,235.33786911601013,0
137,20,200,left,619.9557781219482,232.18378592676362,0
138,40,300,left,535.064697265625,330.44949834623964,0
139,20,300,right,652.099609375,329.49226007537624,0
140,60,100,right,326.30467414855957,75.91402027499785,0
141,60,200,right,372.41315841674805,224.87508984762852,0
142,60,200,left,404.979944229126,267.0453273130597,0
143,40,100,right,331.67576789855957,116.61416657543685,0
144,60,300,left,422.6491451263428,309.5854815724256,0
145,40,100,right,570.392370223999,168.84570164087455,1
146,20,300,left,571.357250213623,310.693416576034,0
147,20,200,left,590.8961296081543,231.57145107947736,0
148,60,200,right,389.0538215637207,214.54714572727278,0
149,20,100,left,506.2413215637207,138.02458037603168,0
150,20,100,right,608.7188720703125,198.95012355536815,0
151,40,200,left,472.395658493042,211.56508829953495,0
152,60,300,left,606.5022945404053,377.08798498833175,0
153,40,100,right,476.3970375061035,125.09426034156773,0
154,20,300,right,704.9069404602051,410.938381343135,0
155,40,200,left,607.4004173278809,221.57094824255128,0
156,20,300,left,654.3638706207275,297.66853316551993,0
157,20,200,right,736.2959384918213,353.37173993438773,0
158,20,200,left,609.7276210784912,263.2358680362803,0
159,40,200,left,555.3433895111084,210.00453124198478,0
160,20,300,left,732.5382232666016,309.83759768176395,0
161,60,300,right,549.5519638061523,335.07441679776275,0
162,60,200,right,575.0644207000732,271.90103490978964,0
163,40,200,left,445.6784725189209,213.4110488177894,0
164,20,300,right,628.4356117248535,331.0885159583676,0
165,40,100,right,464.6298885345459,133.55772511122268,0
166,20,100,left,558.1612586975098,162.74935617531204,0
167,20,100,left,574.005126953125,99.93411559933442,0
168,40,300,right,572.4141597747803,308.68254465218314,0
169,20,300,left,639.8599147796631,340.18900636684236,0
170,40,200,right,590.2042388916016,277.7524498103461,0
171,40,300,left,515.2022838592529,307.81915346594576,0
172,20,300,right,577.368974685669,312.6790632316418,0
173,60,100,right,332.6401710510254,91.4387503773044,0
174,60,300,right,446.5315341949463,298.81179429280354,0
175,60,100,left,429.0173053741455,182.30837693485446,0
176,40,100,left,445.10531425476074,179.82753984483227,0
177,20,100,left,659.9678993225098,238.69978897641292,0
178,60,100,right,350.7800102233887,141.33934131233895,0
179,60,200,right,560.1274967193604,252.83681650006554,0
180,60,100,right,349.961519241333,116.92434317942113,0
